timestamp,value
1716368762,8
1716368764,4
1716368766,4
1716368767,2
1716368783,8
1716368784,2
1716371811,8
1716371812,2
1716371925,8
1716371927,4
1716371929,2
1716371931,2
1716371933,2
1716371934,2
1716374589,8
1716374642,8
1716374643,2
1716374644,2
1716374645,2
1716374646,2
1716374647,2
1716374648,2
1716374649,2
1716374706,8
1716374707,2
1716374708,2
1716374710,2
1716374711,2
1716374750,8
1716374751,2
1716374752,2
1716374754,2
1716374756,2
1716374870,8
1716374871,2
1716374872,2
1716374873,2
1716374874,2
1716374875,2
1716374888,8
1716374890,4
1716374892,2
1716374893,2
1716374894,4
1716374896,2
1716374897,2
1716374898,2
1716374899,2
1716374900,2
1716375224,8
1716375225,2
1716375455,8
1716375502,8
1716375503,2
1716375739,8
1716375741,2
1716375929,8
1716375930,2
1716375931,2
1716376010,8
1716376058,8
1716376059,2
1716376061,4
1716376063,2
1716376145,8
1716376409,8
1716376432,8
1716376434,4
1716376479,8
1716376480,2
1716376481,2
1716376483,2
1716376484,2
1716376485,2
1716376492,8
1716376494,2
1716376495,2
1716376496,2
1716376497,2
1716376498,2
1716376590,8
1716376591,2
1716376592,2
1716376594,2
1716376595,2
1716376596,2
1716376597,2
1716376599,4
1716376699,8
1716376700,2
1716378470,8
1716378471,4
1716378473,2
1716378482,8
1716378484,4
1716378486,2
1716378487,2
1716378495,8
1716378509,8
1716378510,2
1716378511,4
1716378512,4
1716378513,2
1716378514,2
1716378515,2
1716378516,2
1716378517,2
1716378530,8
1716378531,2
1716378532,2
1716378533,2
1716378534,2
1716378536,4
1716378538,2
1716378539,2
1716378540,2
1716378541,2
1716378542,2
1716378552,8
1716378554,4
1716378556,2
1716378557,2
1716378669,8
1716378671,2
1716378672,2
1716378719,8
1716378720,2
1716378722,2
1716378729,8
1716378730,2
1716378731,2
1716378732,2
1716378734,2
1716378735,2
1716378737,2
1716378747,8
1716378748,2
1716378750,4
1716378762,8
1716378764,2
1716378765,2
1716378766,2
1716378767,2
1716378768,4
1716378769,2
1716378771,2
1716378772,2
1716378773,2
1716378774,2
1716378775,2
1716378776,2
1716378777,2
1716379043,8
1716379044,2
1716379045,2
1716379046,2
1716379047,4
1716379048,2
1716379049,2
1716379050,2
1716379051,2
1716379053,2
1716379054,2
1716379055,2
1716379056,2
1716379057,2
1716379058,2
1716379331,8
1716379332,2
1716379333,2
1716379334,4
1716379336,4
1716381134,8
1716381135,2
1716381136,2
1716381137,2
1716381138,4
1716381140,2
1716381143,2
1716381144,2
1716381145,2
1716381146,2
1716381147,2
1716381148,2
1716381150,2
1716381151,2
1716381152,2
1716381211,8
1716381222,8
1716381545,8
1716381546,2
1716381547,2
1716381549,2
1716381577,8
1716381696,8
1716381697,2
1716381698,2
1716381699,2
1716381701,2
1716381702,2
1716381703,2
1716381704,2
1716381716,8
1716381717,2
1716381718,2
1716381720,2
1716381721,2
1716381722,2
1716381723,2
1716381724,2
1716381757,8
1716381759,2
1716381767,8
1716381768,2
1716381769,2
1716381770,2
1716381771,2
1716381843,8
1716381844,2
1716381851,8
1716381852,2
1716381853,2
1716381855,4
1716381857,4
1716381858,2
1716381860,2
1716381861,2
1716381863,2
1716383639,8
1716383640,2
1716384277,8
1716384278,2
1716384279,2
1716384280,2
1716384336,8
1716384337,2
1716384404,8
1716384428,8
1716384429,2
1716384430,2
1716384431,2
1716384432,2
1716384433,2
1716384434,2
1716384435,2
1716384436,2
1716384438,4
1716384439,2
1716384441,2
1716384442,2
1716384487,8
1716384488,2
1716384489,2
1716384490,2
1716384491,4
1716384492,2
1716384493,2
1716385877,8
1716385878,2
1716385879,2
1716385880,2
1716385916,8
1716385917,2
1716385918,2
1716385919,2
1716385961,8
1716385962,2
1716385963,2
1716385964,2
1716385988,8
1716385989,2
1716385990,2
1716386019,8
1716386020,2
1716386022,2
1716386023,2
1716386024,4
1716386036,8
1716386037,2
1716386038,2
1716386039,2
1716386040,2
1716386054,8
1716386055,2
1716386056,2
1716386058,2
1716386059,2
1716386060,2
1716386062,2
1716386063,2
1716386064,2
1716386065,2
1716386066,2
1716386631,8
1716386632,2
1716386688,8
1716386689,2
1716386691,2
1716386820,8
1716386826,8
1716386993,8
1716386994,4
1716386995,2
1716386996,2
1716386997,2
1716386998,2
1716386999,2
1716387000,2
1716387002,2
1716387018,8
1716387019,2
1716387021,4
1716387029,8
1716387030,2
1716387031,2
1716387032,2
1716387033,2
1716387035,2
1716387036,2
1716387037,2
1716387038,2
1716387047,8
1716387048,2
1716387049,2
1716387051,2
1716387052,2
1716387065,8
1716387117,8
1716387119,2
1716387225,8
1716387227,2
1716387228,2
1716387229,2
1716387230,2
1716387231,2
1716387377,8
1716387378,2
1716387379,2
1716387380,2
1716387381,2
1716387382,2
1716387383,2
1716387384,2
1716387385,2
1716387576,8
1716387577,2
1716387578,2
1716387579,2
1716387580,2
1716387581,2
1716387583,2
1716387584,2
1716387599,8
1716387600,2
1716387601,2
1716387602,2
1716387603,2
1716387605,2
1716387614,8
1716387615,2
1716387616,2
1716387617,2
1716387618,2
1716387619,2
1716387620,2
1716387621,2
1716387623,2
1716387624,2
1716387653,8
1716387663,8
1716387664,2
1716387665,2
1716387667,2
1716387668,2
1716387670,2
1716387671,2
1716387672,2
1716387673,2
1716387674,2
1716387675,2
1716387683,8
1716387684,2
1716387686,2
1716387687,2
1716387688,2
1716387689,2
1716387701,8
1716387702,2
1716387703,2
1716387704,2
1716387705,2
1716387762,8
1716387763,2
1716387764,2
1716387765,2
1716387767,2
1716387768,2
1716388108,8
1716388109,2
1716388110,2
1716388111,2
1716388113,2
1716388114,2
1716388115,2
1716388116,2
1716388117,2
1716388118,2
1716388119,2
1716388121,2
1716388122,2
1716388123,2
1716388124,2
1716388125,2
1716388126,2
1716388128,2
1716388129,2
1716388130,2
1716388131,2
1716388132,2
1716388134,4
1716388135,2
1716388138,2
1716388165,8
1716388167,2
1716388532,8
1716388533,2
1716388534,2
1716388535,2
1716388537,2
1716388538,2
1716388539,2
1716388540,2
1716388541,2
1716389780,8
1716389781,2
1716389782,2
1716389783,2
1716389784,2
1716389789,8
1716389790,2
1716389791,2
1716389792,2
1716389794,2
1716389795,2
1716389796,2
1716389871,8
1716389872,2
1716389873,2
1716389874,2
1716389875,2
1716389876,2
1716389877,2
1716389879,2
1716389880,2
1716389882,2
1716389883,2
1716389885,2
1716389886,2
1716389887,2
1716389888,2
1716389889,2
1716389891,2
1716389892,2
1716389893,2
1716389894,2
1716389895,2
1716389897,2
1716389898,2
1716389916,8
1716389918,2
1716389919,2
1716389920,2
1716389921,2
1716389922,2
1716389923,2
1716390016,8
1716390017,2
1716390019,4
1716390021,4
1716390022,2
1716390024,2
1716390068,8
1716390069,2
1716390070,2
1716390071,2
1716390136,8
1716390137,2
1716390158,8
1716390160,2
1716390161,2
1716390206,8
1716390207,2
1716390208,2
1716390209,2
1716390210,2
1716390234,8
1716390236,2
1716390237,2
1716390252,8
1716390253,2
1716390254,2
1716390255,2
1716390257,2
1716390258,2
1716390259,2
1716390260,2
1716390261,2
1716390264,4
1716390280,8
1716390282,2
1716390371,8
1716390372,2
1716390373,2
1716390374,2
1716390375,2
1716390377,2
1716390379,2
1716390380,2
1716390398,8
1716390425,8
1716390426,2
1716390427,2
1716390428,2
1716390429,2
1716390430,2
1716390468,8
1716390469,2
1716390470,2
1716390471,2
1716390473,4
1716390482,8
1716390483,2
1716390485,2
1716390486,2
1716390723,8
1716390733,8
1716390734,2
1716390735,2
1716390748,8
1716390750,4
1716390865,8
1716390867,2
1716390888,8
1716390970,8
1716390972,4
1716390973,2
1716390974,2
1716390975,2
1716390976,2
1716390977,2
1716390979,4
1716390981,2
1716390993,8
1716391025,8
1716391037,8
1716391038,2
1716391047,8
1716391048,2
1716391049,2
1716391050,2
1716391051,2
1716391052,2
1716391053,2
1716391097,8
1716391098,2
1716391129,8
1716391145,8
1716391147,2
1716391148,2
1716391171,8
1716391481,8
1716391655,8
1716391840,8
1716391848,8
1716392120,8
1716392121,2
1716392122,2
1716392149,8
1716392150,2
1716392152,2
1716392153,2
1716392154,2
1716392155,2
1716392156,2
1716392157,2
1716392158,2
1716392160,2
1716392162,2
1716392163,2
1716392164,2
1716392172,8
1716392193,8
1716392195,2
1716392196,2
1716392198,2
1716392199,2
1716392200,2
1716392202,2
1716392203,2
1716392204,2
1716392205,2
1716392549,8
1716392550,2
1716392552,2
1716392646,8
1716392666,8
1716392667,2
1716392669,2
1716392670,2
1716392684,8
1716392685,2
1716392686,2
1716392865,8
1716392866,2
