timestamp,value
1689059997,01020465320000000000
1689059998,010204f03500000000ff
1689060007,0102049f570000000000
1689060008,0102048c5c0000000000
1689060009,01020486610000000000
1689060011,010204c5660000000000
1689060012,010204076c0000000000
1689060013,010204f4700000000000
1689060015,01020442760000000000
1689060016,0102048f7b00000000ff
1689060041,01020428db0000000000
1689060042,01020468e100000000ff
1689061782,0102047f570000000000
1689061783,010204465b00000000ff
1689061835,010204bd250100000000
1689061836,010204dd2901000000ff
1689061849,010204ad5c0100000000
1689061850,010204da600100000000
1689061851,01020426650100000000
1689061852,0102047f690100000000
1689061853,0102048f6d01000000ff
1689061855,010204f1760100000000
1689061857,010204357c0100000000
1689061858,0102040b810100000000
1689061859,01020417860100000000
1689061861,010204c68a01000000ff
1689061866,010204e79e0100000000
1689061867,01020432a40100000000
1689061869,01020407aa0100000000
1689061870,01020478af0100000000
1689061871,01020433b40100000000
1689061873,010204bab90100000000
1689061874,010204ecbe0100000000
1689061875,010204fdc30100000000
1689061877,01020459c90100000000
1689061878,010204ccce0100000000
1689061879,010204a2d30100000000
1689061881,010204b5d80100000000
1689061882,01020446de0100000000
1689061883,010204e2e30100000000
1689061885,01020438e90100000000
1689061886,0102044fee0100000000
1689061887,010204c4f30100000000
1689061889,01020422f80100000000
1689061890,01020403fd0100000000
1689061891,01020403020200000000
1689061892,01020442070200000000
1689061894,010204820c0200000000
1689061895,01020471110200000000
1689061896,010204bf160200000000
1689061898,010204eb1b0200000000
1689061899,01020456210200000000
1689061900,01020452260200000000
1689061902,0102043e2b0200000000
1689061903,0102043d300200000000
1689061904,010204cd340200000000
1689061905,01020495390200000000
1689061907,010204ad3e0200000000
1689061908,010204ee430200000000
1689061909,01020410490200000000
1689061911,010204554e0200000000
1689061912,010204ba530200000000
1689061913,0102046c580200000000
1689061914,010204fa5c0200000000
1689061916,010204de610200000000
1689061917,010204056702000000ff
1689061956,0102048dfe0200000000
1689061957,0102043a030300000000
1689061958,010204a8070300000000
1689061959,010204b70c0300000000
1689061961,0102042b110300000000
1689061962,010204a4150300000000
1689061963,010204201a0300000000
1689061964,010204d21e0300000000
1689061965,010204c5230300000000
1689061966,01020457280300000000
1689061968,010204f52c0300000000
1689061969,010204b6310300000000
1689061970,0102048d360300000000
1689061971,0102043f3b03000000ff
1689061977,01020414530300000000
1689061979,010204d6570300000000
1689061980,010204245c0300000000
1689061981,0102049c600300000000
1689061982,010204e4640300000000
1689061983,010204cd690300000000
1689061984,010204e56e03000000ff
1689062001,0102048aaf0300000000
1689062002,01020495b30300000000
