timestamp_unix,timestamp_iso,participant_full_id,temperature_celsius,missing_value_reason
1673140680000,2023-01-08T01:18:00Z,101-1-1-0004,28.98,
1673140740000,2023-01-08T01:19:00Z,101-1-1-0004,28.8,
1673140800000,2023-01-08T01:20:00Z,101-1-1-0004,28.63,
1673140860000,2023-01-08T01:21:00Z,101-1-1-0004,28.37,
1673140920000,2023-01-08T01:22:00Z,101-1-1-0004,28.14,
1673140980000,2023-01-08T01:23:00Z,101-1-1-0004,28.07,
1673141040000,2023-01-08T01:24:00Z,101-1-1-0004,27.99,
1673141100000,2023-01-08T01:25:00Z,101-1-1-0004,27.75,
1673141160000,2023-01-08T01:26:00Z,101-1-1-0004,27.72,
1673141220000,2023-01-08T01:27:00Z,101-1-1-0004,27.66,
1673141280000,2023-01-08T01:28:00Z,101-1-1-0004,27.68,
1673141340000,2023-01-08T01:29:00Z,101-1-1-0004,27.59,
1673141400000,2023-01-08T01:30:00Z,101-1-1-0004,27.55,
1673141460000,2023-01-08T01:31:00Z,101-1-1-0004,27.5,
1673141520000,2023-01-08T01:32:00Z,101-1-1-0004,27.43,
1673141580000,2023-01-08T01:33:00Z,101-1-1-0004,27.5,
1673141640000,2023-01-08T01:34:00Z,101-1-1-0004,27.84,
1673141700000,2023-01-08T01:35:00Z,101-1-1-0004,28.1,
1673141760000,2023-01-08T01:36:00Z,101-1-1-0004,28.24,
1673141820000,2023-01-08T01:37:00Z,101-1-1-0004,28.33,
1673141880000,2023-01-08T01:38:00Z,101-1-1-0004,28.41,
1673141940000,2023-01-08T01:39:00Z,101-1-1-0004,28.51,
1673142000000,2023-01-08T01:40:00Z,101-1-1-0004,28.66,
1673142060000,2023-01-08T01:41:00Z,101-1-1-0004,28.83,
1673142120000,2023-01-08T01:42:00Z,101-1-1-0004,29.07,
1673142180000,2023-01-08T01:43:00Z,101-1-1-0004,29.34,
1673142240000,2023-01-08T01:44:00Z,101-1-1-0004,29.6,
1673142300000,2023-01-08T01:45:00Z,101-1-1-0004,29.97,
1673142360000,2023-01-08T01:46:00Z,101-1-1-0004,30.39,
1673142420000,2023-01-08T01:47:00Z,101-1-1-0004,30.62,
1673142480000,2023-01-08T01:48:00Z,101-1-1-0004,30.83,
1673142540000,2023-01-08T01:49:00Z,101-1-1-0004,31.08,
1673142600000,2023-01-08T01:50:00Z,101-1-1-0004,31.29,
1673142660000,2023-01-08T01:51:00Z,101-1-1-0004,31.56,
1673142720000,2023-01-08T01:52:00Z,101-1-1-0004,31.75,
1673142780000,2023-01-08T01:53:00Z,101-1-1-0004,31.77,
1673142840000,2023-01-08T01:54:00Z,101-1-1-0004,31.76,
1673142900000,2023-01-08T01:55:00Z,101-1-1-0004,31.82,
1673142960000,2023-01-08T01:56:00Z,101-1-1-0004,31.99,
1673143020000,2023-01-08T01:57:00Z,101-1-1-0004,32.15,
1673143080000,2023-01-08T01:58:00Z,101-1-1-0004,32.24,
1673143140000,2023-01-08T01:59:00Z,101-1-1-0004,32.3,
1673143200000,2023-01-08T02:00:00Z,101-1-1-0004,32.34,
1673143260000,2023-01-08T02:01:00Z,101-1-1-0004,32.36,
1673143320000,2023-01-08T02:02:00Z,101-1-1-0004,32.38,
1673143380000,2023-01-08T02:03:00Z,101-1-1-0004,32.37,
1673143440000,2023-01-08T02:04:00Z,101-1-1-0004,32.46,
1673143500000,2023-01-08T02:05:00Z,101-1-1-0004,32.67,
1673143560000,2023-01-08T02:06:00Z,101-1-1-0004,32.92,
1673143620000,2023-01-08T02:07:00Z,101-1-1-0004,33.14,
1673143680000,2023-01-08T02:08:00Z,101-1-1-0004,33.3,
1673143740000,2023-01-08T02:09:00Z,101-1-1-0004,33.45,
1673143800000,2023-01-08T02:10:00Z,101-1-1-0004,33.57,
1673143860000,2023-01-08T02:11:00Z,101-1-1-0004,33.68,
1673143920000,2023-01-08T02:12:00Z,101-1-1-0004,33.73,
1673143980000,2023-01-08T02:13:00Z,101-1-1-0004,33.77,
1673144040000,2023-01-08T02:14:00Z,101-1-1-0004,33.84,
1673144100000,2023-01-08T02:15:00Z,101-1-1-0004,33.91,
1673144160000,2023-01-08T02:16:00Z,101-1-1-0004,33.95,
1673144220000,2023-01-08T02:17:00Z,101-1-1-0004,33.98,
1673144280000,2023-01-08T02:18:00Z,101-1-1-0004,34.01,
1673144340000,2023-01-08T02:19:00Z,101-1-1-0004,34.05,
1673144400000,2023-01-08T02:20:00Z,101-1-1-0004,34.09,
1673144460000,2023-01-08T02:21:00Z,101-1-1-0004,34.1,
1673144520000,2023-01-08T02:22:00Z,101-1-1-0004,34.13,
1673144580000,2023-01-08T02:23:00Z,101-1-1-0004,34.15,
1673144640000,2023-01-08T02:24:00Z,101-1-1-0004,34.18,
1673144700000,2023-01-08T02:25:00Z,101-1-1-0004,34.2,
1673144760000,2023-01-08T02:26:00Z,101-1-1-0004,34.24,
1673144820000,2023-01-08T02:27:00Z,101-1-1-0004,34.26,
1673144880000,2023-01-08T02:28:00Z,101-1-1-0004,34.28,
1673144940000,2023-01-08T02:29:00Z,101-1-1-0004,34.29,
1673145000000,2023-01-08T02:30:00Z,101-1-1-0004,34.28,
1673145060000,2023-01-08T02:31:00Z,101-1-1-0004,34.26,
1673145120000,2023-01-08T02:32:00Z,101-1-1-0004,34.26,
1673145180000,2023-01-08T02:33:00Z,101-1-1-0004,34.25,
1673145240000,2023-01-08T02:34:00Z,101-1-1-0004,34.27,
1673145300000,2023-01-08T02:35:00Z,101-1-1-0004,34.29,
1673145360000,2023-01-08T02:36:00Z,101-1-1-0004,34.27,
1673145420000,2023-01-08T02:37:00Z,101-1-1-0004,34.26,
1673145480000,2023-01-08T02:38:00Z,101-1-1-0004,34.27,
1673145540000,2023-01-08T02:39:00Z,101-1-1-0004,34.29,
1673145600000,2023-01-08T02:40:00Z,101-1-1-0004,34.29,
1673145660000,2023-01-08T02:41:00Z,101-1-1-0004,34.28,
1673145720000,2023-01-08T02:42:00Z,101-1-1-0004,34.28,
1673145780000,2023-01-08T02:43:00Z,101-1-1-0004,34.26,
1673145840000,2023-01-08T02:44:00Z,101-1-1-0004,34.22,
